Paper,Coder
160,A = levofloxacin_S.agalactiae_Levofloxacin
161,A = metronidazole_H.pylori_Metranidazole; B = clarithromycin_H.pylori_Clarithromycin; C = azithromycin_H.pylori_Azithromycin; D = levofloxacin_H.pylori_Levofloxacin; E = moxifloxacin_H.pylori_Moxifloxacin; F = amoxicillin_H.pylori_Amoxicillin; G = tetracycline_H.pylori_Tetracycline; H = rifampicin_H.pylori_Rifampicin
162,A = ceftazidime_S.maltophilia_Ceftazidime; B = levofloxacin_S.maltophilia_Levofloxacin; C = chloramphenicol_S.maltophilia_Chloramphenicol; D = ticarcillin and beta-lactamase inhibitor_S.maltophilia_Ticarcillin-clavulanate; E = minocycline_S.maltophilia_Minocycline; F = sulfamethoxazole and trimethoprim_S.maltophilia_Trimethoprim-sulfamethoxazole; G = MDR 3_S.maltophilia_MDR (resistance to 3 or more classes of antimicrobial agents among all classes included in the study)
163,A = ampicillin_E.coli_Ampicillin; B = cefazolin_E.coli_Cefazolin; C = ceftriaxone_E.coli_ceftriaxone; D = ciprofloxacin_E.coli_ciprofloxacin; E = gentamicin_E.coli_gentamicin; F = nitrofurantoin_E.coli_nitrofurantoin; G = sulfamethoxazole and trimethoprim_E.coli_trimethoprim-sulfamethoxazole
164,A = amoxicillin_H.pylori_Amoxicillin; B = metronidazole_H.pylori_Metronidazole; C = clarithromycin_H.pylori_Clarithromycin; D = tetracycline_H.pylori_Tetracycline; E = levofloxacin_H.pylori_Levofloxacin
165,"A = Any_M.tuberculosis_Any (INH, isoniazid, RIF, rifampin, EMB, ethambutol, SM, streptomycin, OFL, ofloxacin, KM, kanamycin); B = MDR TB_M.tuberculosis_MDR (resistance to isoniazid and rifampin)"
166,A = ampicillin_E.coli_Ampicillin (AMP); B = cefuroxime_E.coli_Cefuroxime (CXM); C = ceftriaxone_E.coli_Ceftriaxone (CRO); D = cefepime_E.coli_Cefepime (FEP); E = imipenem and cilastatin_E.coli_Imipenem (IPM); F = meropenem_E.coli_Meropenem (MEM); G = cefoperazone and beta-lactamase inhibitor_E.coli_Cefoperazone/sulbactam (CSS); H = piperacillin and beta-lactamase inhibitor_E.coli_Piperacillin-tazobactam (TZP); I = amoxicillin and beta-lactamase inhibitor_E.coli_Amoxicillin-clavulanic acid (AMC); J = ciprofloxacin_E.coli_Ciprofloxacin (CIP); K = sulfamethoxazole and trimethoprim_E.coli_Co-trimaxazole (trimethoprim-sulfamethoxazole) (SXT); L = amikacin_E.coli_Amikacin (AMK); M = gentamicin_E.coli_Gentamicin (GEN); N = nitrofurantoin_E.coli_Nitrofurantoin (NIT); O = colistin_E.coli_Colistin (COL)
167,A = meticillin_S.aureus_Methicilin
168,A = rifampicin_M.tuberculosis_Rifampicin
169,A = clarithromycin_H.pylori_Clarithromycin; B = levofloxacin_H.pylori_Levofloxacin
170,A = amikacin_P.aeruginosa_Amikacin; B = ciprofloxacin_P.aeruginosa_Ciprofloxacin; C = ceftazidime_P.aeruginosa_Ceftazidime; D = imipenem and cilastatin_P.aeruginosa_Imipenem; E = meropenem_P.aeruginosa_Meropenem; F = gentamicin_P.aeruginosa_Gentamicin; G = piperacillin and beta-lactamase inhibitor_P.aeruginosa_Piperacillin tazobactum
172,A = metronidazole_H.pylori_Metronidazole; B = clarithromycin_H.pylori_Clarithromycin; C = moxifloxacin_H.pylori_Moxifloxacin
174,"A = XDR_A.baumannii_XDR (defined as the absence of susceptibility to all of the mentioned antimicrobials (aminoglycosides, antipseudomonal penicillin and bea-lactamase inhibitor combinations, antipseudomonal carbapenems, antipseudomonal fluoroquinolones, trimethoprim-sulfamethoxazole, cephalosporins, ampicillin-sulbactam, polymyxins, ortetracyclines), excluding polymyxins and tigecycline)"
175,A = MDR TB_M.tuberculosis_MDR (resistance to at least rifampicin and isoniazid?)
176,"A = carbapenem_E.coli_Carbapenem (Imipenem, meropenem and ertapenem were used to identify carbapenem resistant isolates); B = carbapenem_Klebsiella_Carbapenem (Imipenem, meropenem and ertapenem were used to identify carbapenem resistant isolates); C = carbapenem_P.aeruginosa_Carbapenem (Imipenem and meropenem were used to identify carbapenem resistant isolates)"
177,A = amoxicillin_H.pylori_Amoxicillin; B = clarithromycin_H.pylori_Clarithromycin; C = metronidazole_H.pylori_Metronidazole; D = levofloxacin_H.pylori_Levofloxacin; E = tetracycline_H.pylori_Tetracycline; F = rifampicin_H.pylori_Rifampicin
178,A = erythromycin_S.agalactiae_Erythromycin; B = clindamycin_S.agalactiae_Clindamycin
179,"A = ampicillin_Multiple_Ampicillin, Enterobacteriaceae (E. coli (193, 42%) was the predominant species among the group of Enterobacteriaceae, followed by Klebsiella species (156, 34%) and other Enterobacteriaceae (112, 24%), including the genera Enterobacter, Citrobacter, Proteus and Serratia) ; B = ampicillin and beta-lactamase inhibitor_Multiple_Ampicillin/sublactam, Enterobacteriaceae (E. coli (193, 42%) was the predominant species among the group of Enterobacteriaceae, followed by Klebsiella species (156, 34%) and other Enterobacteriaceae (112, 24%), including the genera Enterobacter, Citrobacter, Proteus and Serratia); C = ceftriaxone_Multiple_Ceftriaxone; D = fluoroquinolone_Multiple_Ciprofloxacin/Ofloxacin; E = sulfamethoxazole and trimethoprim_Multiple_Co-trimoxazole, Enterobacteriaceae (E. coli (193, 42%) was the predominant species among the group of Enterobacteriaceae, followed by Klebsiella species (156, 34%) and other Enterobacteriaceae (112, 24%), including the genera Enterobacter, Citrobacter, Proteus and Serratia)"
180,"A = cephalosporin_E.coli_Extended-Spectrum Cephalosporin (isolates resistant to at least one 3GC and/or 4GC antibiotic were defined as ESC-R. The selection of 3GC and/or 4GC antibiotics tested differed between laboratories. If one antibiotic of an antibiotic class (e.g. quinolones or carbapenems) was resistant, the antibiotic class was classified as resistant), E.coli (2004); B = cephalosporin_E.coli_Extended-Spectrum Cephalosporin (isolates resistant to at least one 3GC and/or 4GC antibiotic were defined as ESC-R. The selection of 3GC and/or 4GC antibiotics tested differed between laboratories. If one antibiotic of an antibiotic class (e.g. quinolones or carbapenems) was resistant, the antibiotic class was classified as resistant), E.coli (2011); C = cephalosporin_K.pneumoniae_Extended-Spectrum Cephalosporin (isolates resistant to at least one 3GC and/or 4GC antibiotic were defined as ESC-R. The selection of 3GC and/or 4GC antibiotics tested differed between laboratories. If one antibiotic of an antibiotic class (e.g. quinolones or carbapenems) was resistant, the antibiotic class was classified as resistant), K.pneumoniae (2004); D = cephalosporin_K.pneumoniae_Extended-Spectrum Cephalosporin (isolates resistant to at least one 3GC and/or 4GC antibiotic were defined as ESC-R. The selection of 3GC and/or 4GC antibiotics tested differed between laboratories. If one antibiotic of an antibiotic class (e.g. quinolones or carbapenems) was resistant, the antibiotic class was classified as resistant), K.pneumoniae (2011)"
181,A = clarithromycin_H.pylori_Clarithromycin; B = metronidazole_H.pylori_Metronidazole; C = ciprofloxacin_H.pylori_Ciprofloxacin; D = clarithromycin + metronidazole_H.pylori_Clarithromycin + metronidazole (dual resistant)
199,"A = ciprofloxacin_S.aureus_Ciprofloxacin, S.aureus (methicillin susceptible); B = clarithromycin_S.aureus_Clarithromycin, S.aureus (methicillin susceptible); C = clindamycin_S.aureus_Clindamycin, S.aureus (methicillin susceptible); D = gentamicin_S.aureus_Gentamycin, S.aureus (methicillin susceptible); E = levofloxacin_S.aureus_Levofloxacin, S.aureus (methicillin susceptible); F = moxifloxacin_S.aureus_Moxifloxacin, S.aureus (methicillin susceptible); G = tigecycline_S.aureus_Tigecycline, S.aureus (methicillin susceptible); H = sulfamethoxazole and trimethoprim_S.aureus_Trimethoprim/sulfamethoxazole, S.aureus (methicillin susceptible); I = ciprofloxacin_S.aureus_Ciprofloxacin, S.aureus (methicillin resistant); J = clarithromycin_S.aureus_clarithromycin, S.aureus (methicillin resistant); K = clindamycin_S.aureus_clindamycin, S.aureus (methicillin resistant); L = gentamicin_S.aureus_gentamicin, S.aureus (methicillin resistant); M = levofloxacin_S.aureus_levofloxacin, S.aureus (methicillin resistant); N = moxifloxacin_S.aureus_moxifloxacin, S.aureus (methicillin resistant); O = tigecycline_S.aureus_tigecycline, S.aureus (methicillin resistant); P = sulfamethoxazole and trimethoprim_S.aureus_ trimethoprim/sulfamethoxazole, S.aureus (methicillin resistant); Q = vancomycin_S.aureus_vancomycin, S.aureus (methicillin resistant); R = amikacin_E.coli_amikacin; S = amoxicillin and beta-lactamase inhibitor_E.coli_amoxicillin/clavulanic acid; T = cefazolin_E.coli_cefazolin; U = cefepime_E.coli_cefepime; V = cefoxitin_E.coli_cefoxitin; W = ceftazidime_E.coli_ceftazidime; X = ceftriaxone_E.coli_ceftriaxone; Y = ciprofloxacin_E.coli_ciprofloxacin; Z = ertapenem_E.coli_ertapenem; AA = gentamicin_E.coli_gentamicin; AB = levofloxacin_E.coli_levofloxacin; AC = nitrofurantoin_E.coli_nitrofurantoin; AD = piperacillin and beta-lactamase inhibitor_E.coli_piperacillin/tazobactam; AE = tigecycline_E.coli_tigecycline; AF = sulfamethoxazole and trimethoprim_E.coli_trimethoprim/sulfamethoxazole; AG = amoxicillin and beta-lactamase inhibitor_S.pneumoniae_amoxicillin/clavulanic acid; AH = ceftriaxone_S.pneumoniae_ceftriaxone (non-meningitis); AI = ceftriaxone_S.pneumoniae_ceftriaxone (meningitis); AJ = cefuroxime_S.pneumoniae_cefuroxime (oral); AK = cefuroxime_S.pneumoniae_cefuroxime (parenteral); AL = clarithromycin_S.pneumoniae_clarithromycin; AM = clindamycin_S.pneumoniae_clindamycin; AN = doripenem_S.pneumoniae_doripenem; AO = ertapenem_S.pneumoniae_ertapenem; AP = levofloxacin_S.pneumoniae_levofloxacin; AQ = meropenem_S.pneumoniae_meropenem; AR = moxifloxacin_S.pneumoniae_moxifloxacin; AS = penicillin_S.pneumoniae_penicillin (oral); AT = penicillin_S.pneumoniae_penicillin (non-meningitis); AU = penicillin_S.pneumoniae_penicillin (meningitis); AV = telithromycin_S.pneumoniae_telithromycin; AW = tigecycline_S.pneumoniae_tigecycline; AX = sulfamethoxazole and trimethoprim_S.pneumoniae_trimethoprim/sulfamethoxazole; AY = amikacin_P.aeruginosa_amikacin; AZ = cefepime_P.aeruginosa_cefepime; BA = ceftazidime_P.aeruginosa_ceftazidime; BB = ciprofloxacin_P.aeruginosa_ciprofloxacin; BC = colistin_P.aeruginosa_colistin; BD = doripenem_P.aeruginosa_doripenem; BE = gentamicin_P.aeruginosa_gentamicin; BF = levofloxacin_P.aeruginosa_levofloxacin; BG = meropenem_P.aeruginosa_meropenem; BH = piperacillin and beta-lactamase inhibitor_P.aeruginosa_piperacillin/tazobactam; BI = meticillin_S.aureus_Methicillin; BJ = ESBL_E.coli_ESBL; BK = vancomycin_Enterococcus_Vancomycin"
182,A = clarithromycin_H.pylori_Clarithromycin; B = metronidazole_H.pylori_Metronidazole; C = levofloxacin_H.pylori_Levofloxacin; D = tetracycline_H.pylori_Tetracycline
183,"A = Any_Multiple_MDR (resistant to one or more classes of antimicrobial agents recommended as first line therapy), Multiple (All consecutive adult infected patients admitted to the medical, surgical, nephrology or hematology wards of the hospital, or to the intensive care unit (ICU) were included, based on a diagnosis of infection according to the Center for Disease Control (CDC) criteria)"
184,"A = ampicillin_E.coli_Ampicillin; B = cefazolin_E.coli_Cefazolin; C = sulfamethoxazole and trimethoprim_E.coli_Trimethoprimsulfamethoxazole (TMZ); D = fluoroquinolone_E.coli_Fluoroquinolones (Levofloxacin / Ciprofloxacin); E = nitrofurantoin_E.coli_Nitrofurantoin; F = fluoroquinolone + sulfamethoxazole and trimethoprim_E.coli_ FQ (Levofloxacin / Ciprofloxacin) and TMZ; G = gentamicin_E.coli_Gentamycin; H = cephalosporin_E.coli_Extended spectrum cephalosporin (resistance to at least one of the following: ceftriaxone or cefotaxime, ceftazidime, and cefepime); I = MDR 3_E.coli_MDR (Resistance to more than 3 drug classes was defined as resistance to 3 or more of the following: fluoroquinolones, trimethoprim-sulfamethoxazole, gentamicin, piperacillin-tazobactam, carbapenems, or extended-spectrum cephalosporins); J = Any_E.coli_Any          "
185,"A = imipenem and cilastatin_Acinetobacter_Imipenem, Acinetobacter spp (Of the 514 Acinetobacter isolates collected, all were confirmed as Acinetobacter spp. and 94.6% were confirmed as Acinetobacter baumannii); B = meropenem_Acinetobacter_Meropenem, Acinetobacter spp (Of the 514 Acinetobacter isolates collected, all were confirmed as Acinetobacter spp. and 94.6% were confirmed as Acinetobacter baumannii); C = levofloxacin_Acinetobacter_Levofloxacin, Acinetobacter spp (Of the 514 Acinetobacter isolates collected, all were confirmed as Acinetobacter spp. and 94.6% were confirmed as Acinetobacter baumannii); D = ceftazidime_Acinetobacter_Ceftazidime, Acinetobacter spp (Of the 514 Acinetobacter isolates collected, all were confirmed as Acinetobacter spp. and 94.6% were confirmed as Acinetobacter baumannii); E = colistin_Acinetobacter_Colistin, Acinetobacter spp (Of the 514 Acinetobacter isolates collected, all were confirmed as Acinetobacter spp. and 94.6% were confirmed as Acinetobacter baumannii); F = tobramycin_Acinetobacter_Tobramycin, Acinetobacter spp (Of the 514 Acinetobacter isolates collected, all were confirmed as Acinetobacter spp. and 94.6% were confirmed as Acinetobacter baumannii); G = piperacillin and beta-lactamase inhibitor_Acinetobacter_Piperacillin/tazobactam, Acinetobacter spp (Of the 514 Acinetobacter isolates collected, all were confirmed as Acinetobacter spp. and 94.6% were confirmed as Acinetobacter baumannii); H = doripenem_Acinetobacter_Doripenem, Acinetobacter spp (Of the 514 Acinetobacter isolates collected, all were confirmed as Acinetobacter spp. and 94.6% were confirmed as Acinetobacter baumannii); I = MDR 3_Acinetobacter_MDR (3 or more antimicrobial agents of different classes represented by imipenem, ceftazidime, colistin, levofloxacin, piperacillin/tazobactam, and tobramycin), Acinetobacter spp (Of the 514 Acinetobacter isolates collected, all were confirmed as Acinetobacter spp. and 94.6% were confirmed as Acinetobacter baumannii)"
186,A = ampicillin_Multiple_Ampicillin Female; B = nitrofurantoin_Multiple_Nitrofuratoin Female; C = sulfamethoxazole and trimethoprim_Multiple_TMP-SMX Female; D = fluoroquinolone_Multiple_FQs (ciprofloxacin / levofloxacin) Female; E = cephalosporin_Multiple_ESCs (ceftriaxone / cefotaxime) Female; F = gentamicin_Multiple_ Gentamycin Female; G = ampicillin_Multiple_Ampicillin Male; H = nitrofurantoin_Multiple_Nitrofuratoin Male; I = sulfamethoxazole and trimethoprim_Multiple_TMP-SMX Male; J = fluoroquinolone_Multiple_FQs (ciprofloxacin / levofloxacin) Male; K = cephalosporin_Multiple_ESCs (ceftriaxone / cefotaxime) Male; L = gentamicin_Multiple_ Gentamycin Male
187,A = penicillin_S.pneumoniae_Penicillin
188,A = macrolide_P.acnes_MLS antibiotics (Erythromycin / Clindamycin); B = tetracycline_P.acnes_Cycline antibiotics (Tetracycline / Doxycycline / Minocycline)
189,"A = ampicillin_E.coli_Ampicillin; B = amoxicillin and beta-lactamase inhibitor_E.coli_Amoxicillin clavulanic acid; C = cefuroxime_E.coli_Cefuroxime axetil; D = fosfomycin_E.coli_Fosfomycin; E = nitrofurantoin_E.coli_Nitrofurantoin; F = norfloxacin_E.coli_Norfloxacin; G = sulfamethoxazole and trimethoprim_E.coli_TMP-SMX; H = norfloxacin + sulfamethoxazole and trimethoprim_E.coli_Dual resistance (resistance to norfloxacin and trimethoprim sulphamethoxazole); I = MDR 3_E.coli_Multiresistance (resistance to three or more of norfloxacin, trimethoprim sulphamethoxazole, amoxicillin clavulanic acid, and cefuroxime axetil)"
190,A = MDR TB_M.tuberculosis_MDR (isoniazid and rifampicin)
191,"A = penicillin_S.pneumoniae_Penicillin, Pneumococci; B = ceftriaxone_S.pneumoniae_Ceftriaxone, Pneumococci"
